"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220101","SK에너지","셀프","1887","1737","1587","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220102","SK에너지","셀프","1887","1737","1587","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220103","SK에너지","셀프","1887","1737","1587","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220104","SK에너지","셀프","1887","1737","1587","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220105","SK에너지","셀프","1887","1737","1587","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220106","SK에너지","셀프","1887","1737","1587","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220107","SK에너지","셀프","1887","1737","1587","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220108","SK에너지","셀프","1887","1737","1587","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220109","SK에너지","셀프","1887","1737","1587","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220110","SK에너지","셀프","1887","1747","1587","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220111","SK에너지","셀프","1907","1757","1597","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220112","SK에너지","셀프","1907","1757","1597","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220113","SK에너지","셀프","1907","1757","1597","0"
