"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220701","SK에너지","셀프","2487","2287","2297","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220702","SK에너지","셀프","2447","2247","2277","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220703","SK에너지","셀프","2447","2247","2277","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220704","SK에너지","셀프","2447","2247","2277","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220705","SK에너지","셀프","2447","2247","2277","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220706","SK에너지","셀프","2447","2247","2277","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220707","SK에너지","셀프","2447","2247","2277","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220708","SK에너지","셀프","2447","2247","2277","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220709","SK에너지","셀프","2447","2247","2277","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220710","SK에너지","셀프","2387","2187","2217","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220711","SK에너지","셀프","2387","2187","2217","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220712","SK에너지","셀프","2387","2187","2217","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220713","SK에너지","셀프","2387","2187","2217","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220714","SK에너지","셀프","2387","2187","2217","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220715","SK에너지","셀프","2387","2187","2217","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220716","SK에너지","셀프","2387","2187","2217","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220717","SK에너지","셀프","2387","2187","2217","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220718","SK에너지","셀프","2387","2187","2217","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220719","SK에너지","셀프","2337","2137","2187","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220720","SK에너지","셀프","2337","2137","2187","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220721","SK에너지","셀프","2287","2087","2137","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220722","SK에너지","셀프","2287","2087","2137","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220723","SK에너지","셀프","2287","2087","2137","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220724","SK에너지","셀프","2287","2087","2137","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220725","SK에너지","셀프","2287","2087","2137","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220726","SK에너지","셀프","2287","2087","2137","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220727","SK에너지","셀프","2197","1997","2087","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220728","SK에너지","셀프","2197","1997","2087","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220729","SK에너지","셀프","2197","1997","2087","0"
